Name,Country,City,Type,Main Profile,Problem,Type of help,Company,Reg.No,Web,Public Phone,Additional phones,Short Phone,E-mail,WhatsApp,Location,Working days,Working hours,Non-working days,Working hours,Languages,Short description,Description,ID элемента
Pusaudžu Resursu Centrs Daugavpils filiāle,Latvia,Daugavpils,Commercial,NGO,"Teenagers & Youth in transitional age, Parenting, School",Location,SIA Bērnu un pusaudžu resursu centrs,42103113271,https://pusaudzucentrs.lv/,37125635533,,,daugavpils@pusaudzucentrs.lv,,"Daugavpils, Латвия",1-5,11:00-19:00,,,"LV, RU, EN",Resource center for teenagers,Support for youth in transitional age and their families. Psychological counseling. Group exercises.,4061779659
Pusaudžu Resursu Centrs Rēzeknes filiāle,Latvia,Rezekne,Commercial,NGO,"Teenagers & Youth in transitional age, Parenting, School",Location,SIA Bērnu un pusaudžu resursu centrs,42103113271,https://pusaudzucentrs.lv/,37127313138,,,rezekne@pusaudzucentrs.lv,,"Rēzekne, Латвия",1-5,11:00-19:00,,,"LV, RU, EN",Resource center for teenagers,Support for youth in transitional age and their families. Psychological counseling. Group exercises.,4061808775
Pusaudžu Resursu Centrs Jelgavas filiāle,Latvia,Jelgava,Commercial,NGO,"Teenagers & Youth in transitional age, Parenting, School",Location,SIA Bērnu un pusaudžu resursu centrs,42103113271,https://pusaudzucentrs.lv/,37127323238,,,jelgava@pusaudzucentrs.lv,,"Jelgava, Латвия",1-5,11:00-19:00,,,"LV, RU, EN",Resource center for teenagers,Support for youth in transitional age and their families. Psychological counseling. Group exercises.,4061828414
Pusaudžu Resursu Centrs Tukuma filiāle,Latvia,Tukums,Commercial,NGO,"Teenagers & Youth in transitional age, Parenting, School",Location,SIA Bērnu un pusaudžu resursu centrs,42103113271,https://pusaudzucentrs.lv/,37126387905,,,tukums@pusaudzucentrs.lv,,"Tukums, Латвия",1-5,11:00-19:00,,,"LV, RU, EN",Resource center for teenagers,Support for youth in transitional age and their families. Psychological counseling. Group exercises.,4062070845
Pusaudžu Resursu Centrs Siguldas filiāle,Latvia,Sigulda,Commercial,NGO,"Teenagers & Youth in transitional age, Parenting, School",Location,SIA Bērnu un pusaudžu resursu centrs,42103113271,https://pusaudzucentrs.lv/,37127899515,,,sigulda@pusaudzucentrs.lv,,"Sigulda, Латвия",1-5,11:00-19:00,,,"LV, RU, EN",Resource center for teenagers,Support for youth in transitional age and their families. Psychological counseling. Group exercises.,4062096581
Pusaudžu Resursu Centrs Hotline,Latvia,,Commercial,NGO,"Teenagers & Youth in transitional age, Parenting, School",Hot-Line,SIA Bērnu un pusaudžu resursu centrs,42103113271,https://pusaudzucentrs.lv/,37125737363,,,,+37125737363,Latvia,1-5,12:00-19:00,,,"LV, RU, EN",Support line for teenagers and their families,Free psychological support phone number for teenagers and their families. Call / SMS / WhatsApp,4062113198
Bērnu un pusaudžu uzticības tālrunis,Latvia,,Kids,Church,"Teenagers & Youth in transitional age, School",Hot-Line,Valsts bērnu tiesību aizsardzības inspekcija,90002056949,https://uzticibastalrunis.lv/,,,116111,uzticibastalrunis116111@bti.gov.lv,,Latvia,7,24,,,"LV, RU, EN",Child and Teen Helpline 27/7,"Child and Teen Helpline available 24/7. The call is free and anonymous.
 Chat opening hours on weekdays from 12:00 - 20:00
 There is also a special app",4062364485
Young Folks,Latvia,Riga,NGO,Church,"Teenagers & Youth in transitional age, Parenting, School",Location,Biedrība Young Folks LV,40008225108,https://youngfolks.lv/,37126112624,,,info@youngfolks.lv,,"Skolas iela 27-11, Центральный район, Rīga, Латвия",1-5,8:00-22:00,6-7,9:00-23:00,"EN, LV, RU",Youth community,"Young Folks is a youth community based in Riga, Liepaja, Daugavpils and Jelgava. The age of children is from 12 to 25 years old.
 There are group and individual online and offline classes for teenagers and young people.",4065445987
Young Folks,Latvia,Riga,NGO,Church,Refugees,Location,Biedrība Young Folks LV,40008225108,https://youngfolks.lv/helpukraine,37126112624,,,info@youngfolks.lv,,"Prāgas iela 1, Latgales priekšpilsēta, Rīga",7,8:00-22:00,,,"EN, LV, RU",Refugee help center at the Riga bus station,"Help center for refugees from Ukraine at the Riga bus station. They help with food, lodging, clothes, buying tickets.",4065529789
Young Folks,Latvia,Riga,NGO,Church,"Refugees, Free stuff",Location,Biedrība Young Folks LV,40008225108,https://youngfolks.lv/helpukraine,37126112624,,,info@youngfolks.lv,,"Spīķeru iela 3, Латгальское предместье, Rīga, Латвия",7,10:00-18:00,,,"EN, LV, RU",Refugee help center at the Riga bus station,Point of distribution of free warm clothing for refugees,4662265781
PEP mammas,Latvia,,NGO,Church,"Parenting, Depression",All,Biedrība PEP mammu apvienība,40008223287,https://pep.lv/,37129194381,,,pep.mammas@gmail.com,,,,,,,"EN, LV, RU",First emotional support for young parents,"Emotional support for moms and dads of children under 3 years old.
 Free educational visit.
 Home visits by certified PEP Moms, as well as remote consultations longer than 10 minutes, are free of charge.
 On the website there is a list of Pep mums across Latvia that you can call. 
 Pirmās emocionālās palīdzības mamma (PEP mamma)",4065686889
Rīgas SOS ģimeņu atbalsta centrs.,Latvia,Riga,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas SOS Bērnu ciematu asociācija,40008029381,https://www.sosbernuciemati.lv/,37122849250,,,riga@sosbca.lv,,"Zemitāna laukums 5, Rīga, LV 1006",1-5,9:00-17:30; 8:30-17:30; 8:30-18:00; 9:00-17:30; 9:00-16:00,,,"EN, LV, RU",Help for families in crisis situations,"The goal of SOS Family Support Centers is to help adults learn how to take care of their children so that children can grow up in the most appropriate environment for them - in a family with their parents.
 The center has social workers, social rehabilitators, psychologists, and other specialists.
 SOS Children's Villages Latvia is a charity organization that has been developing and supporting SOS families for children who have been left without their parental care, as well it keeps helping families in crisis situations in SOS family support centers. Also support foster and adoptive families and guardians in SOS out-of-family-care Support centers.",4065792377
Rīgas SOS ģimeņu atbalsta centrs,Latvia,Riga,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas SOS Bērnu ciematu asociācija,40008029381,https://www.sosbernuciemati.lv/,37122849250,,,riga@sosbca.lv,,"Mazā Nometņu iela 31, Земгальское предместье, Rīga, Латвия",1-5,9:00-17:30; 8:30-17:30; 8:30-18:00; 9:00-17:30; 9:00-16:00,,,"EN, LV, RU",Help for families in crisis situations,"304. kabinets, Rīga (Āgenskalns)
Door code – 10
The goal of SOS Family Support Centers is to help adults learn how to take care of their children so that children can grow up in the most appropriate environment for them - in a family with their parents.
 The center has social workers, social rehabilitators, psychologists, and other specialists.
 SOS Children's Villages Latvia is a charity organization that has been developing and supporting SOS families for children who have been left without their parental care, as well it keeps helping families in crisis situations in SOS family support centers. Also support foster and adoptive families and guardians in SOS out-of-family-care Support centers.",4068955471
"SOS Ģimeņu atbalsta centrs ""AIRI vecākiem""",Latvia,Riga,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas SOS Bērnu ciematu asociācija,40008029381,https://www.sosbernuciemati.lv/,37127774407,,,airivecakiem@sosbca.lv,,"Senču iela 4, Rīga, LV-1012",1-5,8:30-17:00,,,"EN, LV, RU",Help for families in crisis situations,"The ""AIRI vecākiem"" Support Center assists potential and existing foster families, specialized foster families, guardians, foster parents, guest families, and foster children.
 In a crisis situation the support of specialists is possible 24/7.
 SOS Children's Villages Latvia is a charity organization that has been developing and supporting SOS families for children who have been left without their parental care, as well it keeps helping families in crisis situations in SOS family support centers. Also support foster and adoptive families and guardians in SOS out-of-family-care Support centers.",4068311514
SOS Ģimeņu atbalsta centrs,Latvia,Riga,NGO,Church,"Teenagers & Youth in transitional age, School",Location,Biedrība Latvijas SOS Bērnu ciematu asociācija,40008029381,https://www.sosbernuciemati.lv/lv/kam-mes-palidzam/gimenem-ar-pusaudziem-parinieks,37127774407,,,airivecakiem@sosbca.lv,,"Zemitāna laukums 5, Rīga (Teika)",1-5,9:00-17:30; 8:30-17:30; 8:30-18:00; 9:00-17:30; 9:00-16:00,,,"EN, LV, RU","Support programme for teenagers ""Parinieks""","The support programme """"Parinieks"""" is implemented as a social work service in the Riga SOS Family Support Centre.
 Our work is to work with families with adolescents whose behaviour may lead to illegal activities. In these cases, we carry out preventive work, i.e. to prevent the offence from happening. We aim to reduce the risk of a teenager coming to the attention of the police.
 
 We also work with families where, for whatever reason, the teenager is already in the sights of law enforcement. We help them to understand the offence and try to reduce the chances of it happening again.
 
 Together with the young person, we create this wise third person - the Transcendent - which is a little different for everyone, because it is made up of different combinations of what lives in that individual. Each young person has a different perception and feeling about this third person. Slightly mystical and superior, yet one's own. This third person is available at any moment, and can also be disconnected at any moment when it is no longer needed.",4068845326
"SOS ģimeņu atbalsta centrs ""AIRI vecākiem"" Bauskā",Latvia,Bauska,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas SOS Bērnu ciematu asociācija,40008029381,https://www.sosbernuciemati.lv/,37127998247,,,Ivanda.Jesikena-Vidina@sosbca.lv,,"Rudzu iela 14, Bauska, Bauskas nov., LV 3901",1-5,8:30-17:00,,,"EN, LV, RU",Help for families in crisis situations,"The ""AIRI vecākiem"" Support Center assists potential and existing foster families, specialized foster families, guardians, foster parents, guest families, and foster children.
 In a crisis situation the support of specialists is possible 24/7.
 The goal of SOS Family Support Centers is to help adults learn how to take care of their children so that children can grow up in the most appropriate environment for them - in a family with their parents.
 The center has social workers, social rehabilitators, psychologists, and other specialists.
 SOS Children's Villages Latvia is a charity organization that has been developing and supporting SOS families for children who have been left without their parental care, as well it keeps helping families in crisis situations in SOS family support centers. Also support foster and adoptive families and guardians in SOS out-of-family-care Support centers.",4065885984
Valmieras SOS ģimeņu atbalsta centrs,Latvia,Valmiera,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas SOS Bērnu ciematu asociācija,40008029381,https://www.sosbernuciemati.lv/,37125615856,,,Agnese.Igaune@sosbca.lv,,"Ganību iela 3, Valmiera, LV-4201",,,,,"EN, LV, RU",Help for families in crisis situations,"The goal of SOS Family Support Centers is to help adults learn how to take care of their children so that children can grow up in the most appropriate environment for them - in a family with their parents.
 The center has social workers, social rehabilitators, psychologists, and other specialists.
 SOS Children's Villages Latvia is a charity organization that has been developing and supporting SOS families for children who have been left without their parental care, as well it keeps helping families in crisis situations in SOS family support centers. Also support foster and adoptive families and guardians in SOS out-of-family-care Support centers.",4068259262
"SOS ģimeņu atbalsta centrs ""AIRI vecākiem"" Valmierā",Latvia,Valmiera,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas SOS Bērnu ciematu asociācija,40008029381,https://www.sosbernuciemati.lv/,37126541744,,,Ineta.Vizulina@sosbca.lv,,"Ganību iela 3, Valmiera, LV-4201",1-5,8:30-17:00,,,"EN, LV, RU",Help for families in crisis situations,"The ""AIRI vecākiem"" Support Center assists potential and existing foster families, specialized foster families, guardians, foster parents, guest families, and foster children.
 In a crisis situation the support of specialists is possible 24/7.
 SOS Children's Villages Latvia is a charity organization that has been developing and supporting SOS families for children who have been left without their parental care, as well it keeps helping families in crisis situations in SOS family support centers. Also support foster and adoptive families and guardians in SOS out-of-family-care Support centers.",4068272070
"SOS ģimeņu atbalsta centrs ""AIRI vecākiem"" Kuldīgā",Latvia,Kuldiga,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas SOS Bērnu ciematu asociācija,40008029381,https://www.sosbernuciemati.lv/,37125763191,,,Dace.Gulbe@sosbca.lv,,"Ventspils iela 16, Kuldīga, LV-3101",1-5,8:30-17:00,,,"EN, LV, RU",Help for families in crisis situations,"The ""AIRI vecākiem"" Support Center assists potential and existing foster families, specialized foster families, guardians, foster parents, guest families, and foster children.
 In a crisis situation the support of specialists is possible 24/7.
 SOS Children's Villages Latvia is a charity organization that has been developing and supporting SOS families for children who have been left without their parental care, as well it keeps helping families in crisis situations in SOS family support centers. Also support foster and adoptive families and guardians in SOS out-of-family-care Support centers.",4068329475
SOS Bērnu ciemati,Latvia,,NGO,Church,Parenting,Location,Biedrība Latvijas SOS Bērnu ciematu asociācija,40008029381,https://www.sosbernuciemati.lv/lv/kam-mes-palidzam/zidainu-vecakiem-piedzimstot-berninam,37127333100,,,piedzimstotberninam@sosbca.lv,,Latvia,1-5,8:30-17:00,,,"EN, LV, RU",Support for parents of newborn babies,"Latvian SOS Children's Villages Association in cooperation with PEP (first emotional support) for mothers offers parents of newborn babies the opportunity to receive free informative and emotional support during the first 4 months of the baby's life and participation in the subsequent Parent-Child Support Group.
 SOS Children's Villages Latvia is a charity organization that has been developing and supporting SOS families for children who have been left without their parental care, as well it keeps helping families in crisis situations in SOS family support centers. Also support foster and adoptive families and guardians in SOS out-of-family-care Support centers.",4068643878
"SOS ģimeņu atbalsta centrs ""AIRI vecākiem"" Gulbenē",Latvia,Gulbene,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas SOS Bērnu ciematu asociācija,40008029381,https://www.sosbernuciemati.lv/,37126681443,,,Ginta.Brakovska@sosbca.lv,,"Rīgas iela 47, Гулбене, Gulbenes pilsēta, Латвия",1-5,8:30-17:00,,,"EN, LV, RU",Help for families in crisis situations,"The ""AIRI vecākiem"" Support Center assists potential and existing foster families, specialized foster families, guardians, foster parents, guest families, and foster children.
 In a crisis situation the support of specialists is possible 24/7.
 SOS Children's Villages Latvia is a charity organization that has been developing and supporting SOS families for children who have been left without their parental care, as well it keeps helping families in crisis situations in SOS family support centers. Also support foster and adoptive families and guardians in SOS out-of-family-care Support centers.",4068348889
SOS Bērnu ciemati,Latvia,,NGO,Church,"Parenting, Grief & Loss",Location,Biedrība Latvijas SOS Bērnu ciematu asociācija,40008029381,https://www.sosbernuciemati.lv/lv/kam-mes-palidzam/zidainu-vecakiem-piedzimstot-berninam - https://www.sosbernuciemati.lv/lv/kam-mes-palidzam/berniem-kuriem-nomiris-tuvinieks-kalniem-pari,37126862241,,,,,Latvia,,,,,"EN, LV, RU",Support for parents of newborn babies,"The program ""Mountains Above"" supports families with children after the loss of a mum, dad, brother, sister or other significant caregiver by offering support in individual counselling and groups, as well as by educating the public about the aspects of grieving in families with children.
 The support program is free of charge and is provided to the family as a whole. Both the child and a parent/guardian participate in the """"Mountains to Climb"""" groups and/or individual counselling, thus contributing to the development of a comprehensive support system at the most difficult time in a child's life. 
 SOS Children's Villages Latvia is a charity organization that has been developing and supporting SOS families for children who have been left without their parental care, as well it keeps helping families in crisis situations in SOS family support centers. Also support foster and adoptive families and guardians in SOS out-of-family-care Support centers.",4068769290
Debesmanna.com,Latvia,,NGO,Church,Parenting,On-Line,Biedrība Debesmanna.com,40008218159,https://debesmanna.com/,,,,,,Latvia,,,,,LV,For young parents in crisis situation,"An informational resource for young parents that describes the psychological problems that parents of young children often face.
 Advices for depression, crisis situations and many others.",4068547856
Jauniešu sociālās rehabilitācijas un atbalsta nodaļa,Latvia,Riga,NGO,Church,Teenagers & Youth in transitional age,Location,Biedrība Latvijas Samariešu apvienība,40008001803,https://samariesi.lv/lv/pakalpojumi/jauniesu-socialas-rehabilitacijas-un-atbalsta-nodala,37122011353,,8898,maija.berzina@samariesi.lv,,"Cieceres iela 1, Rīga",,,,,"EN, LV, RU",Social rehabilitation and support for young people,"The Youth Social Rehabilitation and Support Unit of the Latvian Samaritans Association works with young people at social risk aged 13-25 and includes a programme of social rehabilitation and support to reduce deviant behaviour and promote the development of positive social skills.
 A short phone number is available 24/7",4087519411
Ģimenes asistents,Latvia,Riga,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas Samariešu apvienība,40008001803,https://samariesi.lv/lv/pakalpojumi/gimenes-asistents,37128728304,,8898,santa.malberga@samariesi.lv,,"Cieceres iela 1, Rīga",,,,,"EN, LV, RU",Family assistant,"Family assistant service:
 for families with children who lack social skills;
 people with mental health problems who need to learn social skills;
 young people starting independent life after out-of-family care in an institution.
 In order to receive a referral from the social service for a family assistant service, a person who corresponds to one of the above-mentioned target groups must go to the social service of the place of residence and submit an application for a family assistant service.
 
 The family assistant service includes:
 - social rehabilitation activities providing support and training in social skills, communication, self-care, childcare and upbringing, personal (family) budget planning, household management and housework,
 - support and assistance in housing and employment, education, health and addiction problems to achieve sustainable personal and family functioning.",4087541290
Ģimenes asistents,Latvia,Marupes novads,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas Samariešu apvienība,40008001803,https://samariesi.lv/lv/pakalpojumi/gimenes-asistents,37128701084,+37129264584,8898,santa.malberga@samariesi.lv,,"Cieceres iela 1, Rīga",,,,,"EN, LV, RU",Family assistant,"Family assistant service:
 for families with children who lack social skills;
 people with mental health problems who need to learn social skills;
 young people starting independent life after out-of-family care in an institution.
 In order to receive a referral from the social service for a family assistant service, a person who corresponds to one of the above-mentioned target groups must go to the social service of the place of residence and submit an application for a family assistant service.
 
 The family assistant service includes:
 - social rehabilitation activities providing support and training in social skills, communication, self-care, childcare and upbringing, personal (family) budget planning, household management and housework,
 - support and assistance in housing and employment, education, health and addiction problems to achieve sustainable personal and family functioning.",4087561962
Ģimenes asistents,Latvia,Cesu novads,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas Samariešu apvienība,40008001803,https://samariesi.lv/lv/pakalpojumi/gimenes-asistents,37128728304,,8898,santa.malberga@samariesi.lv,,"Cieceres iela 1, Rīga",,,,,"EN, LV, RU",Family assistant,"Family assistant service:
 for families with children who lack social skills;
 people with mental health problems who need to learn social skills;
 young people starting independent life after out-of-family care in an institution.
 In order to receive a referral from the social service for a family assistant service, a person who corresponds to one of the above-mentioned target groups must go to the social service of the place of residence and submit an application for a family assistant service.
 
 The family assistant service includes:
 - social rehabilitation activities providing support and training in social skills, communication, self-care, childcare and upbringing, personal (family) budget planning, household management and housework,
 - support and assistance in housing and employment, education, health and addiction problems to achieve sustainable personal and family functioning.",4087550246
Ģimenes asistents,Latvia,Jelgava,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas Samariešu apvienība,40008001803,https://samariesi.lv/lv/pakalpojumi/gimenes-asistents,37128728304,,8898,santa.malberga@samariesi.lv,,"Cieceres iela 1, Rīga",,,,,"EN, LV, RU",Family assistant,"Family assistant service:
 for families with children who lack social skills;
 people with mental health problems who need to learn social skills;
 young people starting independent life after out-of-family care in an institution.
 In order to receive a referral from the social service for a family assistant service, a person who corresponds to one of the above-mentioned target groups must go to the social service of the place of residence and submit an application for a family assistant service.
 
 The family assistant service includes:
 - social rehabilitation activities providing support and training in social skills, communication, self-care, childcare and upbringing, personal (family) budget planning, household management and housework,
 - support and assistance in housing and employment, education, health and addiction problems to achieve sustainable personal and family functioning.",4087554589
Ģimenes asistents,Latvia,Jurmala,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas Samariešu apvienība,40008001803,https://samariesi.lv/lv/pakalpojumi/gimenes-asistents,37128728304,,8898,santa.malberga@samariesi.lv,,"Cieceres iela 1, Rīga",,,,,"EN, LV, RU",Family assistant,"Family assistant service:
 for families with children who lack social skills;
 people with mental health problems who need to learn social skills;
 young people starting independent life after out-of-family care in an institution.
 In order to receive a referral from the social service for a family assistant service, a person who corresponds to one of the above-mentioned target groups must go to the social service of the place of residence and submit an application for a family assistant service.
 
 The family assistant service includes:
 - social rehabilitation activities providing support and training in social skills, communication, self-care, childcare and upbringing, personal (family) budget planning, household management and housework,
 - support and assistance in housing and employment, education, health and addiction problems to achieve sustainable personal and family functioning.",4087559053
Ģimenes asistents,Latvia,Saulkrastu novads,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas Samariešu apvienība,40008001803,https://samariesi.lv/lv/pakalpojumi/gimenes-asistents,37128728304,,8898,santa.malberga@samariesi.lv,,"Cieceres iela 1, Rīga",,,,,"EN, LV, RU",Family assistant,"Family assistant service:
 for families with children who lack social skills;
 people with mental health problems who need to learn social skills;
 young people starting independent life after out-of-family care in an institution.
 In order to receive a referral from the social service for a family assistant service, a person who corresponds to one of the above-mentioned target groups must go to the social service of the place of residence and submit an application for a family assistant service.
 
 The family assistant service includes:
 - social rehabilitation activities providing support and training in social skills, communication, self-care, childcare and upbringing, personal (family) budget planning, household management and housework,
 - support and assistance in housing and employment, education, health and addiction problems to achieve sustainable personal and family functioning.",4087566981
Ģimenes asistents,Latvia,Tukuma novads,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas Samariešu apvienība,40008001803,https://samariesi.lv/lv/pakalpojumi/gimenes-asistents,37128728304,,8898,santa.malberga@samariesi.lv,,"Cieceres iela 1, Rīga",,,,,"EN, LV, RU",Family assistant,"Family assistant service:
 for families with children who lack social skills;
 people with mental health problems who need to learn social skills;
 young people starting independent life after out-of-family care in an institution.
 In order to receive a referral from the social service for a family assistant service, a person who corresponds to one of the above-mentioned target groups must go to the social service of the place of residence and submit an application for a family assistant service.
 
 The family assistant service includes:
 - social rehabilitation activities providing support and training in social skills, communication, self-care, childcare and upbringing, personal (family) budget planning, household management and housework,
 - support and assistance in housing and employment, education, health and addiction problems to achieve sustainable personal and family functioning.",4087568156
Ģimenes asistents,Latvia,Smiltenes novads,NGO,Church,"Parenting, Teenagers & Youth in transitional age",Location,Biedrība Latvijas Samariešu apvienība,40008001803,https://samariesi.lv/lv/pakalpojumi/gimenes-asistents,37167815299,,8898,valda.ozolina@samariesi.lv,,"Katoļu iela 22, Rīga, LV-1003",,,,,"EN, LV, RU",Family assistant,"Family assistant service:
 for families with children who lack social skills;
 people with mental health problems who need to learn social skills;
 young people starting independent life after out-of-family care in an institution.
 In order to receive a referral from the social service for a family assistant service, a person who corresponds to one of the above-mentioned target groups must go to the social service of the place of residence and submit an application for a family assistant service.
 
 The family assistant service includes:
 - social rehabilitation activities providing support and training in social skills, communication, self-care, childcare and upbringing, personal (family) budget planning, household management and housework,
 - support and assistance in housing and employment, education, health and addiction problems to achieve sustainable personal and family functioning.",4087568989
